1,net84-253-128-001,84.253.128.1,0.383,41.9,12.4833
2,rom4-mclink-1-it.rom.seabone.net,89.221.32.1,12.150,43.1479,12.1097
3,ash2-new11-racc1.new.seabone.net,195.22.216.225,105.036,43.1479,12.1097
4,microsoft-2-us-ash2.ash.seabone.net,195.22.206.26,113.735,43.1479,12.1097
5,207.46.47.92,207.46.47.92,116.776,47.6801,-122.1206
6,ge-7-0-0-0.ash-64cb-1a.ntwk.msn.net,207.46.41.45,115.746,47.6801,-122.1206
7,so-7-2-3-0.wst-64cb-1b.ntwk.msn.net,207.46.35.97,198.352,47.6801,-122.1206
8,ge-7-0-0-0.tuk-64cb-1b.ntwk.msn.net,207.46.41.78,183.957,47.6801,-122.1206
9,*,*,*,,
10,*,*,*,,
11,*,*,*,,
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,po14.tuk-65ns-mcs-1a.ntwk.msn.net,207.46.35.134,185.536,47.6801,-122.1206
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,po14.tuk-65ns-mcs-1a.ntwk.msn.net,207.46.35.134,185.341,47.6801,-122.1206
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
