1,net84-253-128-001,84.253.128.1,0.383,41.9,12.4833
2,89-97-241-241.ip19.fastwebnet.it,89.97.241.241,0.617,41.8919,12.5113
3,81-208-53-197.ip.fastwebnet.it,81.208.53.197,10.829,41.8919,12.5113
4,89.97.200.57,89.97.200.57,36.639,41.9507,12.075
5,89.97.200.57,89.97.200.57,36.100,41.9507,12.075
6,s0-6-2-0-dcr2.par.cw.net,195.10.54.57,36.523,48.8582,2.3387
7,so-6-0-0-dcr1.was.cw.net,195.2.10.130,109.375,47,8
8,so-0-0-0-dcr1.ash.cw.net,195.2.0.218,157.732,47,8
9,exchange-cust1.dc2.equinix.net,206.223.115.16,108.344,37.5331,-122.2471
10,so-0-0-0.pat1.pao.yahoo.com,216.115.101.128,185.028,37.4249,-122.0074
11,g-0-0-0-p140.msr1.sp1.yahoo.com,216.115.107.49,180.782,37.4249,-122.0074
12,te-8-1.bas-a2.sp1.yahoo.com,209.131.32.19,181.161,37.4249,-122.0074
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,*,*,*,,
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
