1,net84-253-128-001,84.253.128.1,0.383,41.9,12.4833
2,89-97-241-241.ip19.fastwebnet.it,89.97.241.241,0.434,41.8919,12.5113
3,81-208-53-197.ip.fastwebnet.it,81.208.53.197,11.009,41.8919,12.5113
4,89.97.200.25,89.97.200.25,24.878,41.9507,12.075
5,89.97.200.25,89.97.200.25,23.458,41.9507,12.075
6,so-1-1-3.rom22.ip.tiscali.net,213.200.68.221,11.414,51.2993,9.491
7,so-2-2-0.was11.ip.tiscali.net,213.200.80.113,110.318,48.4167,8.6833
8,dcp-brdr-01.inet.qwest.net,63.146.26.13,107.164,37.751,-97.822
9,dcx-core-01.inet.qwest.net,205.171.251.57,112.029,37.751,-97.822
10,jfk-core-02.inet.qwest.net,67.14.5.10,116.161,37.751,-97.822
11,nyc-edge-01.inet.qwest.net,205.171.30.38,120.877,40.7143,-74.006
12,65-118-195-131.dia.static.qwest.net,65.118.195.131,115.735,37.751,-97.822
